"","player_name","player_team","round","DSSal_Hist","dreamTeamPoints"
"356","Gryan Miers","GEE",9,11010,61
"357","Ben Brown","NTH",9,9280,18
"358","Ben Cunnington","NTH",9,12890,97
"359","Isaac Heeney","SYD",9,12190,97
"361","Tom Papley","SYD",9,10780,85
"362","Trent Dumont","NTH",9,13730,99
"363","Mason Wood","NTH",9,8920,24
"364","Nick Larkey","NTH",9,7810,45
"365","Connor Blakely","FRE",9,13130,71
"366","Dyson Heppell","ESS",9,14520,75
"367","Andrew McGrath","ESS",9,11460,60
"368","Dean Kent","STK",9,8340,69
"369","Jack Billings","STK",9,13550,104
"370","Jack Newnes","STK",9,11120,51
"371","Shane Savage","STK",9,12370,103
"372","James Aish","COL",9,9390,55
"373","Ben Reid","COL",9,8640,83
"374","Josh Thomas","COL",9,8330,68
"375","Luke Brown","ADE",9,8310,36
"376","Rory Laird","ADE",9,14850,95
"377","Brodie Smith","ADE",9,11390,88
"378","Taylor Walker","ADE",9,8810,84
"379","Charlie Cameron","BRL",9,8620,90
"380","Rhys Mathieson","BRL",9,8370,65
"381","Alex Keath","ADE",9,10670,51
"382","Jack Henry","GEE",9,6710,39
"383","Tom Stewart","GEE",9,13920,82
"384","Charlie Constable","GEE",9,12470,44
"385","Ed Richards","WBD",9,7050,45
"386","Bailey Smith","WBD",9,9110,81
"387","Shaun Higgins","NTH",9,14020,64
"388","George Hewett","SYD",9,9790,93
"389","Callum Mills","SYD",9,10580,42
"390","Callum Sinclair","SYD",9,11640,86
"391","Jared Polec","NTH",9,12210,88
"392","Jy Simpkin","NTH",9,8910,100
"393","Jordan Dawson","SYD",9,10750,114
"394","Will Hayward","SYD",9,7970,50
"395","Colin O'Riordan","SYD",9,8810,46
"396","Jake Stringer","ESS",9,9670,89
"397","Tom Bellchambers","ESS",9,10970,64
"398","Jack Steele","STK",9,13300,93
"399","Levi Greenwood","COL",9,9140,74
"401","Josh Bruce","STK",9,7990,48
"402","Jade Gresham","STK",9,10510,81
"403","Sebastian Ross","STK",9,14810,71
"404","Travis Varcoe","COL",9,7340,60
"405","Rowan Marshall","STK",9,12290,81
"406","Ed Phillips","STK",9,10040,39
"407","Ben Paton","STK",9,8170,45
"408","Tom Lynch","ADE",9,12680,93
"409","David Mackay","ADE",9,9700,58
"410","Daniel McStay","BRL",9,7020,88
"411","Jake Kelly","ADE",9,9640,64
"412","Hugh Greenwood","ADE",9,12110,49
"413","Cameron Rayner","BRL",9,6910,16
"414","Sam Lloyd","WBD",9,11360,76
"415","Marcus Bontempelli","WBD",9,15930,72
"416","Caleb Daniel","WBD",9,13620,63
"417","Lachie Hunter","WBD",9,15820,92
"418","Toby McLean","WBD",9,11150,88
"419","Matthew Suckling","WBD",9,12880,41
"420","Mitch Wallis","WBD",9,11280,96
"421","Harry Taylor","GEE",9,9700,55
"422","Hayden Crozier","WBD",9,11480,58
"423","Gary Rohan","GEE",9,7430,90
"424","Mark O'Connor","GEE",9,8090,61
"425","Aaron Naughton","WBD",9,10500,42
"426","Jed Anderson","NTH",9,11580,111
"427","Scott D. Thompson","NTH",9,8870,76
"428","Luke Parker","SYD",9,13850,131
"429","Aliir Aliir","SYD",9,8370,50
"430","Oliver Florent","SYD",9,9550,83
"431","Tom McCartin","SYD",9,6480,59
"432","Jesse Hogan","FRE",9,10860,69
"433","Patrick Ambrose","ESS",9,5360,40
"434","Kyle Langford","ESS",9,11220,76
"435","Anthony McDonald-Tipungwuti","ESS",9,9610,62
"436","Adam Saad","ESS",9,9090,91
"437","Ed Langdon","FRE",9,13210,67
"438","Bradley Hill","FRE",9,12330,92
"439","Reece Conca","FRE",9,10720,86
"440","Cale Hooker","ESS",9,10630,76
"441","Luke Ryan","FRE",9,12110,71
"446","Nathan Brown","STK",9,5000,38
"459","Tim Membrey","STK",9,9240,86
"465","Daniel McKenzie","STK",9,7360,49
"494","Matthew Parker","STK",9,7270,32
"495","Callum Wilkie","STK",9,7310,58
"496","Rory Atkins","ADE",9,12020,76
"497","Eddie Betts","ADE",9,8010,58
"500","Kyle Hartigan","ADE",9,7020,30
"505","Daniel Talia","ADE",9,7560,31
"507","Harris Andrews","BRL",9,9280,70
"511","Darcy Gardiner","BRL",9,8120,50
"512","Ryan Lester","BRL",9,9320,36
"515","Josh Walker","BRL",9,10290,17
"516","Lincoln McCarthy","BRL",9,7560,39
"520","Eric Hipwood","BRL",9,8040,73
"526","Jordan Gallucci","ADE",9,7910,54
"527","Elliott Himmelberg","ADE",9,9170,44
"531","Jarrod Berry","BRL",9,11960,74
"535","Oscar McInerney","BRL",9,7690,46
"539","Lachlan Murphy","ADE",9,8230,75
"560","Jason Johannisen","WBD",9,12630,70
"564","Easton Wood","WBD",9,6970,30
"566","Mark Blicavs","GEE",9,9250,42
"568","Jake Kolodjashnij","GEE",9,7440,36
"573","Zaine Cordy","WBD",9,5720,40
"575","Fletcher Roberts","WBD",9,5000,36
"581","Ryan Abbott","GEE",9,8740,74
"596","Billy Gowers","WBD",9,7450,25
"607","Will Hayes","WBD",9,9210,42
"612","Lachlan Young","WBD",9,7130,29
"615","Shaun Atley","NTH",9,10490,38
"617","Jamie Macmillan","NTH",9,11750,114
"618","Robbie Tarrant","NTH",9,10070,77
"619","Kayne Turner","NTH",9,7970,60
"621","Marley Williams","NTH",9,8710,56
"626","Dane Rampe","SYD",9,9780,66
"631","Jasper Pittard","NTH",9,12010,57
"636","Ryan Clarke","SYD",9,9500,70
"640","Jackson Thurlow","SYD",9,9810,43
"646","Lewis Melican","SYD",9,5350,32
"648","Sam Reid","SYD",9,9270,59
"673","Nathan Wilson","FRE",9,9230,82
"674","Mark Baguley","ESS",9,7200,55
"679","Darcy Parish","ESS",9,11290,73
"683","Matt Taberner","FRE",9,11820,76
"684","Alex Pearce","FRE",9,6440,58
"689","Brandon Matera","FRE",9,9240,77
"690","Joel Hamling","FRE",9,7120,35
"691","Darcy Tucker","FRE",9,9480,63
"693","Conor McKenna","ESS",9,9210,62
"694","Mason Redman","ESS",9,9740,79
"695","Ethan Hughes","FRE",9,7720,62
"696","Aaron Francis","ESS",9,8550,63
"705","Brennan Cox","FRE",9,8040,29
"707","Taylin Duman","FRE",9,9100,99
"716","Andrew Brayshaw","FRE",9,9500,62
"723","Sam Switkowski","FRE",9,7560,36
"734","Matthew Lobbe","CAR",3,8010,62
"735","Will Setterfield","CAR",3,7220,50
"736","Lachie Neale","BRL",3,14750,135
"737","Jamie Elliott","COL",3,7110,37
"738","Jake Lloyd","SYD",3,15200,120
"739","Josh P. Kennedy","SYD",3,13420,121
"740","Lance Franklin","SYD",3,11340,57
"741","Sydney Stack","RIC",3,5000,89
"742","Tim Taranto","GWS",3,13710,118
"743","Darcy Moore","COL",3,6280,61
"744","Sam Walsh","CAR",3,10630,107
"745","Tom Papley","SYD",3,10370,93
"746","Callum Sinclair","SYD",3,12580,120
"747","Dustin Martin","RIC",3,12200,68
"748","Stephen Coniglio","GWS",3,16670,108
"749","Lachie Whitfield","GWS",3,16890,162
"750","Adam Treloar","COL",3,16630,98
"751","Zak Jones","SYD",3,9920,103
"752","Brodie Grundy","COL",3,15140,122
"753","Josh Rotham","WCE",3,5000,43
"754","Shane Mumford","GWS",3,10490,85
"755","Jeremy Cameron","GWS",3,11040,147
"756","Jeremy Finlayson","GWS",3,7580,95
"757","Scott Pendlebury","COL",3,13430,79
"758","Nic Newman","CAR",3,11700,84
"759","Zac Williams","GWS",3,11510,82
"760","Robbie Gray","PTA",3,11340,78
"761","Dayne Zorko","BRL",3,13530,106
"762","Rhys Mathieson","BRL",3,9800,44
"763","Isaac Heeney","SYD",3,12560,121
"764","Paddy Dow","CAR",3,9160,52
"765","Trent Cotchin","RIC",3,11750,70
"766","Xavier Duursma","PTA",3,10180,50
"767","Tom Phillips","COL",3,13140,49
"768","Zac Fisher","CAR",3,9530,73
"769","Josh Kelly","GWS",3,15620,100
"770","Travis Boak","PTA",3,15940,118
"771","Zak Butters","PTA",3,7440,66
"773","Jack Crisp","COL",3,13420,49
"774","Jack Petruccelle","WCE",3,6150,69
"775","Patrick Cripps","CAR",3,16330,121
"776","Harry McKay","CAR",3,9460,57
"777","Brent Daniels","GWS",3,6510,59
"778","Zac Bailey","BRL",3,8310,30
"779","Levi Greenwood","COL",3,9250,22
"780","James Aish","COL",3,10850,75
"781","Dom Sheed","WCE",3,14260,93
"782","Ed Curnow","CAR",3,12480,94
"783","Sam Gray","PTA",3,8700,44
"784","Willem Drew","PTA",3,10960,48
"785","Chris Masten","WCE",3,9360,50
"786","Sam Reid","SYD",3,8480,80
"787","Michael Gibbons","CAR",3,7100,24
"788","Lincoln McCarthy","BRL",3,7980,80
"789","Andrew Gaff","WCE",3,15460,97
"790","Marc Murphy","CAR",3,13240,95
"791","Luke Parker","SYD",3,14820,68
"792","Sam Petrevski-Seton","CAR",3,11220,80
"793","Toby Nankervis","RIC",3,13000,84
"794","Jarryd Lyons","BRL",3,12920,72
"795","Josh Walker","BRL",3,7110,117
"796","Scott Lycett","PTA",3,11890,57
"797","Brad Ebert","PTA",3,14140,61
"798","Justin Westhoff","PTA",3,13670,55
"799","Ryan Burton","PTA",3,10820,76
"800","Taylor Adams","COL",3,14560,82
"801","Jack Redden","WCE",3,13780,54
"802","Jeremy Howe","COL",3,11230,87
"803","Kade Simpson","CAR",3,13070,46
"804","Jackson Thurlow","SYD",3,8960,74
"806","Nick Haynes","GWS",3,9810,73
"807","Darcy Byrne-Jones","PTA",3,10430,98
"808","Connor Rozee","PTA",3,8860,121
"809","Jordan De Goey","COL",3,10830,107
"810","Chris Mayne","COL",3,13190,97
"811","Jordan Roughead","COL",3,10610,35
"812","Elliot Yeo","WCE",3,14470,71
"813","Dayne Beams","COL",3,16260,86
"814","Levi Casboult","CAR",3,7390,56
"815","Caleb Marchbank","CAR",3,8610,38
"816","Callum Mills","SYD",3,10520,96
"817","Oliver Florent","SYD",3,8730,69
"818","Tom McCartin","SYD",3,6620,72
"819","Nick Vlastuin","RIC",3,8910,76
"820","Heath Shaw","GWS",3,11890,81
"821","Adam Tomlinson","GWS",3,12170,57
"822","Tom J. Lynch","RIC",3,9390,66
"823","Sam J. Reid","GWS",3,7510,41
"824","Sam Taylor","GWS",3,5360,42
"825","Jack Higgins","RIC",3,9150,77
"826","Ryan Bastinac","BRL",3,8220,43
"827","Stefan Martin","BRL",3,13110,80
"828","Daniel Rich","BRL",3,13250,89
"829","Ollie Wines","PTA",3,13700,66
"830","Riley Bonner","PTA",3,7700,55
"831","Hugh McCluggage","BRL",3,12730,61
"832","Paddy Ryder","PTA",3,10050,81
"833","Steele Sidebottom","COL",3,14820,107
"834","Jack Darling","WCE",3,10500,33
"835","Shannon Hurn","WCE",3,11780,89
"836","Jeremy McGovern","WCE",3,9560,52
"837","Luke Shuey","WCE",3,14020,101
"838","Josh Thomas","COL",3,9150,48
"839","Brody Mihocek","COL",3,10090,65
"840","Jaidyn Stephenson","COL",3,9540,60
"842","Jacob Weitering","CAR",3,8940,37
"843","George Hewett","SYD",3,9880,67
"844","Dane Rampe","SYD",3,10640,74
"845","Jarrad McVeigh","SYD",3,10850,89
"846","Lachie Plowman","CAR",3,7470,53
"847","Jordan Dawson","SYD",3,8700,71
"848","Ben Ronke","SYD",3,7770,34
"849","Lochie O'Brien","CAR",3,8400,34
"850","Nick Blakey","SYD",3,6300,49
"851","Shane Edwards","RIC",3,9450,84
"852","Brandon Ellis","RIC",3,10940,82
"853","Kane Lambert","RIC",3,12760,142
"854","Matt Buntine","GWS",3,9700,36
"855","Adam Kennedy","GWS",3,10880,76
"856","Matt de Boer","GWS",3,10380,80
"859","Jacob Hopper","GWS",3,13310,81
"860","Harry Himmelberg","GWS",3,9400,66
"861","Ryan Garthwaite","RIC",3,5950,35
"862","Jack Graham","RIC",3,11060,67
"863","Noah Balta","RIC",3,7000,24
"864","Mitch Robinson","BRL",3,11540,112
"865","Luke Hodge","BRL",3,9910,60
"866","Dougal Howard","PTA",3,6880,31
"867","Charlie Cameron","BRL",3,9290,49
"868","Eric Hipwood","BRL",3,7230,106
"869","Jarrod Berry","BRL",3,13340,72
"870","Alex Witherden","BRL",3,13280,104
"871","Sam Powell-Pepper","PTA",3,10450,101
"872","Cameron Rayner","BRL",3,9450,41
"873","Tom Langdon","COL",3,11040,66
"874","Josh J. Kennedy","WCE",3,11310,55
"875","Brad Sheppard","WCE",3,11400,95
"876","Tom Hickey","WCE",3,10610,45
"877","Nathan Vardy","WCE",3,8300,47
"878","Thomas Cole","WCE",3,7990,63
"879","Lewis Jetta","WCE",3,8270,68
"880","Mason Cox","COL",3,9810,41
"887","Harry Cunningham","SYD",3,12050,74
"895","Dale Thomas","CAR",3,12410,64
"898","Liam Jones","CAR",3,7670,31
"900","Aliir Aliir","SYD",3,10410,66
"909","Cameron Polson","CAR",3,6370,11
"936","David Astbury","RIC",3,7120,62
"939","Kamdyn McIntosh","RIC",3,8820,82
"943","Daniel Rioli","RIC",3,9250,73
"946","Phil Davis","GWS",3,8980,75
"949","Dion Prestia","RIC",3,12690,118
"954","Oleg Markov","RIC",3,6000,73
"956","Jason Castagna","RIC",3,7070,73
"957","Dan Butler","RIC",3,7910,28
"958","Nathan Broad","RIC",3,5980,55
"959","Daniel Lloyd","GWS",3,7860,57
"995","Harris Andrews","BRL",3,10310,29
"998","Darcy Gardiner","BRL",3,9630,51
"1001","Daniel McStay","BRL",3,7260,38
"1008","Tom Jonas","PTA",3,9560,54
"1009","Steven Motlop","PTA",3,11400,53
"1012","Tom Clurey","PTA",3,8890,46
"1020","Oscar McInerney","BRL",3,9710,60
"1024","Dan Houston","PTA",3,10370,71
"1052","Brayden Maynard","COL",3,9890,108
"1053","Jamie Cripps","WCE",3,13180,78
"1055","Mark Hutchings","WCE",3,9280,27
"1068","Tom Barrass","WCE",3,9610,53
"1087","Oscar Allen","WCE",3,7070,47
"1090","Liam Ryan","WCE",3,7540,47
"1103","Rhylee West","WBD",24,5880,26
"1104","Shane Mumford","GWS",24,9380,61
"1105","Lachie Whitfield","GWS",24,15280,131
"1106","Bailey Dale","WBD",24,9270,30
"1107","Josh Dunkley","WBD",24,16140,86
"1108","Tim English","WBD",24,10750,105
"1109","Tim Taranto","GWS",24,15040,113
"1110","Josh Kelly","GWS",24,15860,91
"1111","Adam Kennedy","GWS",24,9010,57
"1112","Lachie Hunter","WBD",24,13200,80
"1113","Bailey Smith","WBD",24,10120,60
"1114","Jack Macrae","WBD",24,16170,133
"1115","Toby McLean","WBD",24,9100,46
"1116","Will Hayes","WBD",24,9530,30
"1117","Lewis Young","WBD",24,6930,40
"1118","Heath Shaw","GWS",24,11310,104
"1119","Toby Greene","GWS",24,14690,84
"1120","Jacob Hopper","GWS",24,13680,94
"1121","Patrick Lipinski","WBD",24,12510,76
"1122","Jason Johannisen","WBD",24,11200,59
"1123","Jeremy Cameron","GWS",24,12370,120
"1124","Josh Schache","WBD",24,7980,41
"1125","Nick Haynes","GWS",24,11450,56
