"","player_name","player_team","round","DSSal_Hist","dreamTeamPoints"
"9012","Adam Saad","ESS",2,9120,83
"9013","Sebastian Ross","STK",2,16030,85
"9014","Jack Watts","PTA",2,10610,67
"9015","Alex Fasolo","CAR",2,5000,50
"9016","Jack Steele","STK",2,15640,96
"9017","Zach Merrett","ESS",2,16000,99
"9018","Michael Hurley","ESS",2,11440,103
"9019","Andrew Phillips","CAR",2,10670,84
"9020","Zac Fisher","CAR",2,10130,65
"9021","Sam Powell-Pepper","PTA",2,9420,97
"9022","Nic Newman","CAR",2,13500,66
"9023","Paddy Dow","CAR",2,8040,85
"9024","Xavier Duursma","PTA",2,8690,102
"9025","Michael Hibberd","MEL",2,8980,53
"9026","Charlie Constable","GEE",2,9550,106
"9027","Tom Atkins","GEE",2,6200,57
"9028","Jack Darling","WCE",2,10380,76
"9029","Devon Smith","ESS",2,16350,86
"9030","Kade Simpson","CAR",2,13700,68
"9031","Scott Lycett","PTA",2,10070,114
"9032","Riley Bonner","PTA",2,9450,62
"9033","Harry McKay","CAR",2,9420,66
"9034","Will Setterfield","CAR",2,8970,58
"9035","Paddy Ryder","PTA",2,10640,61
"9036","Zak Butters","PTA",2,8280,69
"9037","Christian Salem","MEL",2,13380,90
"9038","Jack Viney","MEL",2,11230,115
"9039","Tom Sparrow","MEL",2,6280,40
"9040","Elliot Yeo","WCE",2,16040,73
"9041","Oscar Allen","WCE",2,6230,54
"9042","Dean Kent","STK",2,7810,57
"9043","David Zaharakis","ESS",2,14290,67
"9044","Shane Savage","STK",2,11270,60
"9045","Jack Steven","STK",2,13980,71
"9046","Orazio Fantasia","ESS",2,10630,52
"9047","Tom Bellchambers","ESS",2,12290,75
"9048","Marc Murphy","CAR",2,13640,79
"9049","Michael Gibbons","CAR",2,6000,66
"9050","Jayden Hunt","MEL",2,6690,39
"9051","Heath Shaw","GWS",2,12370,62
"9052","Lachie Whitfield","GWS",2,16530,133
"9053","Jack Redden","WCE",2,15760,88
"9054","Luke Shuey","WCE",2,13870,109
"9055","Jacob Hopper","GWS",2,13410,80
"9056","Chris Masten","WCE",2,9900,101
"9057","Lachlan Keeffe","GWS",2,7330,44
"9058","Dawson Simpson","GWS",2,10440,64
"9059","Darcy Parish","ESS",2,11150,65
"9060","Jack Billings","STK",2,13700,94
"9061","Luke Dunstan","STK",2,11870,60
"9062","Jimmy Webster","STK",2,10940,57
"9063","David Myers","ESS",2,10330,77
"9064","Matthew Parker","STK",2,9650,62
"9065","Steven Motlop","PTA",2,9320,103
"9066","Lachie Plowman","CAR",2,7120,55
"9067","Sam Petrevski-Seton","CAR",2,10030,81
"9068","Connor Rozee","PTA",2,8270,75
"9069","Kade Kolodjashnij","MEL",2,9430,36
"9070","Mitch Duncan","GEE",2,14630,108
"9071","Rhys Stanley","GEE",2,12120,64
"9072","Sam Menegola","GEE",2,14190,94
"9073","Nathan Vardy","WCE",2,7950,55
"9074","Brent Daniels","GWS",2,8610,42
"9075","Sam Taylor","GWS",2,6700,17
"9076","Patrick Ambrose","ESS",2,6030,53
"9077","Kyle Langford","ESS",2,12240,54
"9078","Nathan Brown","STK",2,5000,35
"9079","Jake Stringer","ESS",2,10570,74
"9080","Josh Bruce","STK",2,8980,71
"9081","Jarryn Geary","STK",2,9960,69
"9082","Jack Sinclair","STK",2,10890,81
"9083","Conor McKenna","ESS",2,8950,54
"9084","Daniel McKenzie","STK",2,8250,29
"9085","Aaron Francis","ESS",2,8690,69
"9086","Matt Guelfi","ESS",2,8040,60
"9087","Callum Wilkie","STK",2,6900,41
"9088","Jacob Weitering","CAR",2,8990,54
"9089","Tom Jonas","PTA",2,9770,69
"9090","Dale Thomas","CAR",2,12260,73
"9091","Cameron Polson","CAR",2,5000,49
"9092","Dan Houston","PTA",2,10430,75
"9093","Todd Marshall","PTA",2,6590,34
"9094","James Harmes","MEL",2,13600,88
"9095","Nathan Jones","MEL",2,11430,78
"9096","Tom McDonald","MEL",2,11410,64
"9097","Gary Ablett","GEE",2,15240,81
"9098","Christian Petracca","MEL",2,11370,69
"9099","Gary Rohan","GEE",2,6510,55
"9101","Esava Ratugolea","GEE",2,5950,51
"9102","Bayley Fritsch","MEL",2,9210,88
"9103","Matt Buntine","GWS",2,6220,80
"9104","Josh J. Kennedy","WCE",2,11370,61
"9105","Jeremy McGovern","WCE",2,9840,88
"9106","Brad Sheppard","WCE",2,11460,91
"9107","Nick Haynes","GWS",2,10040,73
"9108","Jeremy Cameron","GWS",2,11020,73
"9109","Brett Deledio","GWS",2,12230,63
"9110","Jeremy Finlayson","GWS",2,7310,81
"9113","Mark Baguley","ESS",2,8640,40
"9114","Mitch Brown","ESS",2,9110,74
"9118","Anthony McDonald-Tipungwuti","ESS",2,9380,38
"9122","Jade Gresham","STK",2,11880,98
"9123","Jack Lonie","STK",2,12410,50
"9128","Tim Membrey","STK",2,10250,48
"9143","Josh Battle","STK",2,8550,34
"9173","Mitch McGovern","CAR",2,8730,63
"9185","Liam Jones","CAR",2,7830,42
"9187","Jarrod Garlett","CAR",2,7570,45
"9191","Tom Clurey","PTA",2,8680,57
"9220","Sam Frost","MEL",2,6940,32
"9222","Neville Jetta","MEL",2,6860,39
"9223","Oscar McDonald","MEL",2,6830,29
"9226","Steven May","MEL",2,11670,18
"9228","Mark Blicavs","GEE",2,8710,61
"9230","Tom Hawkins","GEE",2,13670,81
"9232","Jake Kolodjashnij","GEE",2,6840,75
"9236","Alex Neal-Bullen","MEL",2,11570,45
"9240","Sam Weideman","MEL",2,8900,57
"9248","Mark O'Connor","GEE",2,6780,56
"9255","Jake Melksham","MEL",2,10000,81
"9260","Gryan Miers","GEE",2,6400,73
"9281","Phil Davis","GWS",2,9160,25
"9284","Adam Kennedy","GWS",2,9690,93
"9286","Adam Tomlinson","GWS",2,12360,92
"9288","Matt de Boer","GWS",2,10970,72
"9291","Liam Duggan","WCE",2,10280,82
"9293","Mark Hutchings","WCE",2,9560,58
"9299","Tom Hickey","WCE",2,10450,102
"9302","Thomas Cole","WCE",2,7280,93
"9303","Lewis Jetta","WCE",2,9620,57
"9304","Sam J. Reid","GWS",2,7240,71
"9305","Tom Barrass","WCE",2,9650,68
"9306","Harry Himmelberg","GWS",2,9900,52
"9307","Daniel Lloyd","GWS",2,8270,25
"9317","Daniel Venables","WCE",2,6750,56
"9327","Jack Petruccelle","WCE",2,6400,74
"9328","Liam Ryan","WCE",2,7910,33
"9343","Brodie Grundy","COL",7,15520,99
"9344","Adam Treloar","COL",7,14990,120
"9345","Karl Amon","PTA",7,6560,60
"9346","Sam Gray","PTA",7,9990,58
"9347","Jordan Roughead","COL",7,6560,69
"9348","Scott Pendlebury","COL",7,13860,126
"9349","Darcy Moore","COL",7,7510,70
"9350","Travis Boak","PTA",7,14960,108
"9351","Scott Lycett","PTA",7,9950,62
"9352","Tom Phillips","COL",7,13630,106
"9353","Tom Rockliff","PTA",7,15380,69
"9354","Jamie Elliott","COL",7,7870,109
"9355","Sam Powell-Pepper","PTA",7,9750,71
"9356","Jordan De Goey","COL",7,12310,75
"9357","Steele Sidebottom","COL",7,13610,128
"9358","Ollie Wines","PTA",7,13090,98
"9359","Callum L. Brown","COL",7,9190,62
"9360","Jack Crisp","COL",7,13040,103
"9361","Dayne Beams","COL",7,14380,64
"9362","Jaidyn Stephenson","COL",7,9550,101
"9363","Jeremy Howe","COL",7,11110,27
"9364","Will Hoskin-Elliott","COL",7,9210,51
"9365","Brad Ebert","PTA",7,13370,31
"9366","Paddy Ryder","PTA",7,8910,91
"9367","Riley Bonner","PTA",7,7750,54
"9368","Brody Mihocek","COL",7,9630,53
"9369","Ben Reid","COL",7,8780,69
"9370","Darcy Byrne-Jones","PTA",7,9600,96
"9372","Ryan Burton","PTA",7,10240,71
"9373","Justin Westhoff","PTA",7,12070,111
"9374","Zak Butters","PTA",7,8310,34
"9375","Willem Drew","PTA",7,9540,64
"9376","Xavier Duursma","PTA",7,9720,73
"9377","Brayden Maynard","COL",7,10180,96
"9378","Dougal Howard","PTA",7,7390,55
"9379","Josh Thomas","COL",7,8880,50
"9380","Dan Houston","PTA",7,9700,72
"9381","Tom Langdon","COL",7,10090,90
"9382","Connor Rozee","PTA",7,10040,74
"9383","Levi Greenwood","COL",7,9020,88
"9384","Todd Marshall","PTA",7,6420,58
"9385","Tom Clurey","PTA",7,8580,50
"9386","Jarrod Lienert","PTA",7,10100,70
"9435","Jack Ross","RIC",21,8570,79
"9437","Jason Carter","FRE",21,5000,30
"9438","Ed Curnow","CAR",21,12440,122
"9439","Andrew Gaff","WCE",21,15230,106
"9440","Matthew Kreuzer","CAR",21,11680,85
"9441","Shai Bolton","RIC",21,10320,43
"9442","Dan Hannebery","STK",21,11220,117
"9443","Connor Blakely","FRE",21,11310,94
"9444","Sebastian Ross","STK",21,13460,112
"9445","Sam Jacobs","ADE",21,11080,95
"9446","Elliot Yeo","WCE",21,15170,88
"9447","Jack Billings","STK",21,14870,95
"9448","Rowan Marshall","STK",21,14800,78
"9449","Mitchell Crowden","FRE",21,6490,53
"9450","Patrick Cripps","CAR",21,15190,126
"9451","Matt Crouch","ADE",21,14330,147
"9452","Tom Hickey","WCE",21,10480,81
"9453","Dion Prestia","RIC",21,14950,113
"9454","Josh Deluca","CAR",21,5400,61
"9455","Michael Walters","FRE",21,14100,56
"9456","Marc Murphy","CAR",21,13410,97
"9457","Bryce Gibbs","ADE",21,12070,100
"9458","Shane Savage","STK",21,10840,94
"9459","Hunter Clark","STK",21,12410,99
"9460","Kade Simpson","CAR",21,11820,122
"9461","Harry McKay","CAR",21,8960,36
"9462","Nat Fyfe","FRE",21,15570,121
"9463","Jack Newnes","STK",21,8900,74
"9464","Jack Graham","RIC",21,11680,146
"9465","Jack Sinclair","STK",21,8770,66
"9466","Kane Lambert","RIC",21,12460,74
"9467","Luke Shuey","WCE",21,14840,104
"9468","Josh Caddy","RIC",21,10220,81
"9469","Jack Darling","WCE",21,11650,120
"9470","Jack Petruccelle","WCE",21,6870,47
"9471","David Mundy","FRE",21,10920,53
"9472","Blake Acres","STK",21,10420,44
"9473","Jack Lonie","STK",21,9520,60
"9474","Ethan Hughes","FRE",21,8450,55
"9475","Jack Riewoldt","RIC",21,9340,39
"9476","Jayden Short","RIC",21,11000,78
"9477","Brad Crouch","ADE",21,15090,122
"9478","Richard Douglas","ADE",21,8050,70
"9480","Shannon Hurn","WCE",21,12600,65
"9481","Jack Redden","WCE",21,13800,86
"9482","Jack Steele","STK",21,13160,82
"9483","Jack Steven","STK",21,12180,105
"9484","Ed Langdon","FRE",21,11900,105
"9485","Andrew Brayshaw","FRE",21,11850,86
"9486","Adam Cerra","FRE",21,7980,83
"9487","Shane Edwards","RIC",21,10130,127
"9488","Toby Nankervis","RIC",21,11730,89
"9489","Brodie Smith","ADE",21,12720,65
"9490","Josh J. Kennedy","WCE",21,8990,25
"9491","Brad Sheppard","WCE",21,11500,65
"9492","Rory Laird","ADE",21,13780,103
"9493","Tom J. Lynch","RIC",21,11390,74
"9494","Liam Baker","RIC",21,8680,70
"9495","Michael Gibbons","CAR",21,9650,43
"9496","Sam Walsh","CAR",21,13060,65
"9497","Oscar Allen","WCE",21,8710,82
"9498","Josh Bruce","STK",21,9060,48
"9499","Bradley Hill","FRE",21,12790,88
"9500","Josh Battle","STK",21,10660,87
"9501","Sam Switkowski","FRE",21,7870,80
"9502","Bachar Houli","RIC",21,15120,80
"9503","Daniel Rioli","RIC",21,8300,44
"9504","Nick Vlastuin","RIC",21,11840,74
"9505","Mitch McGovern","CAR",21,6510,50
"9506","Mabior Chol","RIC",21,8130,36
"9507","Nic Newman","CAR",21,13770,109
"9508","Riley Knight","ADE",21,9200,72
"9509","Dom Sheed","WCE",21,14620,95
"9510","Aaron Sandilands","FRE",21,10130,92
"9511","Darcy Tucker","FRE",21,10620,79
"9512","Tim Membrey","STK",21,10060,76
"9513","Ben Long","STK",21,7390,75
"9514","Nick Hind","STK",21,6490,67
"9515","Levi Casboult","CAR",21,10440,53
"9516","Jack Silvagni","CAR",21,9730,71
"9517","Sam Petrevski-Seton","CAR",21,11470,81
"9518","Tom Lynch","ADE",21,13470,57
"9519","David Mackay","ADE",21,9230,70
"9520","Wayne Milera","ADE",21,11230,62
"9521","Jeremy McGovern","WCE",21,9700,65
"9522","Willie Rioli","WCE",21,8760,109
"9523","Darcy Fogarty","ADE",21,6030,82
"9524","Joel Hamling","FRE",21,6690,61
"9525","Sean Darcy","FRE",21,9180,80
"9526","Griffin Logue","FRE",21,7220,28
"9527","Brandon Ellis","RIC",21,12480,103
"9528","Zac Fisher","CAR",21,8530,24
"9529","Rory Atkins","ADE",21,11260,61
"9530","Jamie Cripps","WCE",21,11060,52
"9531","Mark Hutchings","WCE",21,7740,72
"9532","Jackson Nelson","WCE",21,6730,28
"9533","Lewis Jetta","WCE",21,8670,35
"9534","Jake Waterman","WCE",21,8050,86
"9535","Luke Dunstan","STK",21,12280,89
"9536","Brandon Matera","FRE",21,9000,55
"9537","Reece Conca","FRE",21,11010,42
"9538","Taylin Duman","FRE",21,9140,59
"9539","Jake Carlisle","STK",21,8380,45
"9540","Ben Paton","STK",21,8840,42
"9541","Lachlan Schultz","FRE",21,7060,36
"9542","Jacob Weitering","CAR",21,8940,57
"9543","Dylan Grimes","RIC",21,7640,46
"9544","Dale Thomas","CAR",21,10660,130
"9545","Jason Castagna","RIC",21,10030,100
"9546","Will Setterfield","CAR",21,10260,55
"9547","Lochie O'Brien","CAR",21,7910,28
"9548","Sydney Stack","RIC",21,10950,32
"9549","Eddie Betts","ADE",21,8350,47
"9550","Luke Brown","ADE",21,8480,75
"9551","Liam Ryan","WCE",21,8790,61
"9584","Bailey Banfield","FRE",21,9000,27
"9600","Callum Wilkie","STK",21,8960,76
"9607","David Astbury","RIC",21,9360,33
"9619","Darcy Lang","CAR",21,8050,17
"9623","Lachie Plowman","CAR",21,8310,85
"9625","Liam Jones","CAR",21,6530,45
"9629","Nathan Broad","RIC",21,8120,64
"9659","Kyle Hartigan","ADE",21,6100,39
"9662","Daniel Talia","ADE",21,7900,65
"9663","Taylor Walker","ADE",21,9390,58
"9666","Will Schofield","WCE",21,5410,36
"9674","Jake Kelly","ADE",21,9870,70
"9675","Tom Barrass","WCE",21,8220,77
"9676","Andy Otten","ADE",21,9080,68
"9693","Lachlan Murphy","ADE",21,8040,49
"9712","Isaac Quaynor","COL",16,5600,78
"9713","Adam Treloar","COL",16,15750,102
"9714","Ben McEvoy","HAW",16,12580,83
"9715","Jaeger O'Meara","HAW",16,14590,79
"9716","Isaac Smith","HAW",16,11610,83
"9717","Brayden Sier","COL",16,10220,38
"9718","Steele Sidebottom","COL",16,13700,93
"9719","Brodie Grundy","COL",16,17960,100
"9720","Liam Shiels","HAW",16,14390,77
"9721","Tom Scully","HAW",16,9980,52
"9722","Mitch Lewis","HAW",16,6300,84
"9723","James Worpel","HAW",16,13040,88
"9724","Shaun Burgoyne","HAW",16,9230,71
"9725","Chris Mayne","COL",16,12090,70
"9726","Tom Phillips","COL",16,13220,111
"9727","Daniel Howe","HAW",16,10250,32
"9728","Mason Cox","COL",16,8950,34
"9729","Will Hoskin-Elliott","COL",16,10510,91
"9730","Oliver Hanrahan","HAW",16,5400,74
"9731","Scott Pendlebury","COL",16,14540,84
"9732","James Sicily","HAW",16,11690,121
"9733","Ricky Henderson","HAW",16,14970,45
"9734","Jordan Roughead","COL",16,7650,55
"9735","James Aish","COL",16,9390,53
"9736","Josh Daicos","COL",16,9870,65
"9737","Jack Crisp","COL",16,13630,117
"9738","Jordan De Goey","COL",16,12060,81
"9739","Josh Thomas","COL",16,7980,54
"9740","Jamie Elliott","COL",16,9500,37
"9741","Jack Gunston","HAW",16,10380,45
"9742","Brody Mihocek","COL",16,10130,78
"9743","Luke Breust","HAW",16,9620,74
"9744","Conor Glass","HAW",16,6670,59
"9745","Brayden Maynard","COL",16,10500,71
"9746","Jarman Impey","HAW",16,10740,96
"9747","Darcy Moore","COL",16,8120,90
"9748","Matthew Scharenberg","COL",16,9980,65
"9749","James Frawley","HAW",16,6870,61
"9750","Blake Hardwick","HAW",16,10550,82
"9751","Ben Stratton","HAW",16,5690,44
"9752","Conor Nash","HAW",16,5820,36
"9753","Callum L. Brown","COL",16,9790,66
"9754","Paul Puopolo","HAW",16,8280,73
"9755","Tim O'Brien","HAW",16,7710,67
"9806","Tom Hickey","WCE",14,9540,90
"9807","Dylan Clarke","ESS",14,9440,68
"9808","Elliot Yeo","WCE",14,14890,132
"9809","Chris Masten","WCE",14,8380,62
"9810","Andrew Gaff","WCE",14,15970,92
"9811","Jack Redden","WCE",14,13500,109
"9812","Darcy Parish","ESS",14,11690,96
"9813","Jarrod Cameron","WCE",14,5000,69
"9814","Dom Sheed","WCE",14,13770,114
"9815","Dylan Shiel","ESS",14,13550,94
"9816","Dyson Heppell","ESS",14,14250,87
"9817","Luke Shuey","WCE",14,14060,103
"9818","Shannon Hurn","WCE",14,13840,61
"9819","Tom Bellchambers","ESS",14,10260,94
"9820","Jamie Cripps","WCE",14,10220,89
"9821","Oscar Allen","WCE",14,7750,61
"9822","Lewis Jetta","WCE",14,8610,63
"9823","David Zaharakis","ESS",14,12580,88
"9824","Andrew McGrath","ESS",14,11030,63
"9825","Zach Merrett","ESS",14,15890,105
"9826","Jack Darling","WCE",14,10290,49
"9827","Josh Begley","ESS",14,6330,76
"9829","Michael Hurley","ESS",14,12360,72
"9830","Orazio Fantasia","ESS",14,10740,28
"9831","Shaun McKernan","ESS",14,9210,19
"9832","Liam Ryan","WCE",14,8310,59
"9833","Mark Hutchings","WCE",14,7970,39
"9834","Conor McKenna","ESS",14,9310,59
"9835","Cale Hooker","ESS",14,11510,116
"9836","Kyle Langford","ESS",14,11410,65
"9837","Josh J. Kennedy","WCE",14,9690,70
"9838","Jeremy McGovern","WCE",14,10170,63
"9839","Jayden Laverde","ESS",14,9110,66
"9840","Adam Saad","ESS",14,9760,42
"9841","Brad Sheppard","WCE",14,12340,83
"9842","Liam Duggan","WCE",14,9460,61
"9843","Jackson Nelson","WCE",14,5580,43
"9844","Mitch Brown","ESS",14,11000,66
"9845","Patrick Ambrose","ESS",14,5800,45
"9846","Anthony McDonald-Tipungwuti","ESS",14,9330,33
"9847","Jack Petruccelle","WCE",14,7680,53
"9848","Will Schofield","WCE",14,5160,38
"9849","Mason Redman","ESS",14,9420,91
"9899","Dan Hannebery","STK",14,8550,103
"9900","Scott Lycett","PTA",14,10250,130
"9901","Max Gawn","MEL",14,16500,129
"9902","Joel Garner","PTA",14,5750,39
"9903","Robbie Gray","PTA",14,10840,115
"9904","Mitch Duncan","GEE",14,15030,116
"9905","Nat Fyfe","FRE",14,15010,88
"9906","Brett Bewley","FRE",14,6610,56
"9907","Nick Hind","STK",14,5000,76
"9908","Darcy Fort","GEE",14,6460,46
"9909","Luke Dunstan","STK",14,11740,71
"9910","Patrick Dangerfield","GEE",14,15480,110
"9911","Michael Walters","FRE",14,13600,83
"9912","Griffin Logue","FRE",14,9580,74
"9913","Lachie Neale","BRL",14,15040,79
"9914","Angus Brayshaw","MEL",14,14520,87
"9915","Tim Kelly","GEE",14,14900,71
"9916","Jack Billings","STK",14,13990,113
"9917","Sebastian Ross","STK",14,12930,106
"9918","Dayne Zorko","BRL",14,13800,120
"9919","Jarryd Lyons","BRL",14,11850,107
"9920","Ollie Wines","PTA",14,12660,77
"9921","Clayton Oliver","MEL",14,15300,113
"9922","Bradley Hill","FRE",14,12520,100
"9923","Connor Blakely","FRE",14,11950,73
"9924","Rowan Marshall","STK",14,13660,107
"9925","James Harmes","MEL",14,13440,74
"9926","Jacob Allison","BRL",14,6530,40
"9928","Christian Petracca","MEL",14,10440,102
"9929","Bayley Fritsch","MEL",14,9790,66
"9930","Blake Acres","STK",14,9990,67
"9931","Karl Amon","PTA",14,9610,97
"9932","Cameron Guthrie","GEE",14,11540,80
"9933","Christian Salem","MEL",14,13060,84
"9934","Cameron Rayner","BRL",14,5980,50
"9935","Noah Answerth","BRL",14,7120,32
"9936","Nathan Wilson","FRE",14,9940,35
"9937","Reece Conca","FRE",14,10720,84
"9938","Luke Ryan","FRE",14,12020,74
"9939","Gary Ablett","GEE",14,12920,76
"9940","Travis Boak","PTA",14,15450,121
"9941","Joel Selwood","GEE",14,11390,71
"9942","Jack Viney","MEL",14,11730,86
"9944","Ed Langdon","FRE",14,12960,94
"9945","Oskar Baker","MEL",14,9890,69
"9946","Alex Witherden","BRL",14,11220,92
"9947","Rhys Stanley","GEE",14,11480,45
"9948","Xavier Duursma","PTA",14,11030,70
"9949","Tom McDonald","MEL",14,8310,125
"9950","Josh Wagner","MEL",14,7190,53
"9951","Mitch Hannan","MEL",14,7210,22
"9952","Marty Hore","MEL",14,10170,49
"9953","Jade Gresham","STK",14,12590,98
"9954","Ryan Burton","PTA",14,10800,110
"9955","Brandan Parfitt","GEE",14,10920,82
"9956","Dan Houston","PTA",14,11100,89
"9957","Alex Neal-Bullen","MEL",14,9180,61
"9958","Sean Darcy","FRE",14,9610,75
"9959","Harrison Petty","MEL",14,5000,45
"9960","Jay Lockhart","MEL",14,8190,92
"9961","Stefan Martin","BRL",14,11170,119
"9962","Daniel Rich","BRL",14,12980,111
"9963","Luke Hodge","BRL",14,8870,67
"9964","Tim Membrey","STK",14,9910,46
"9965","Charlie Cameron","BRL",14,9110,81
"9966","Zach Tuohy","GEE",14,9610,101
"9967","Luke Dahlhaus","GEE",14,11760,42
"9968","Tom Hawkins","GEE",14,11180,26
"9969","Tom Atkins","GEE",14,8050,62
"9970","David Mundy","FRE",14,12990,63
"9971","Darcy Tucker","FRE",14,8810,97
"9972","Brennan Cox","FRE",14,7460,45
"9973","Andrew Brayshaw","FRE",14,9760,69
"9974","Dean Kent","STK",14,9290,36
"9975","Harris Andrews","BRL",14,8920,53
"9976","Allen Christensen","BRL",14,10620,97
"9977","Mitch Robinson","BRL",14,13230,94
"9978","Josh Bruce","STK",14,7310,85
"9979","Rhys Mathieson","BRL",14,8400,45
"9980","Hugh McCluggage","BRL",14,13560,87
"9981","Charlie Dixon","PTA",14,9580,49
"9982","Brad Ebert","PTA",14,13070,64
"9983","Hamish Hartlett","PTA",14,11720,72
"9984","Darcy Byrne-Jones","PTA",14,12370,71
"9985","Riley Bonner","PTA",14,8470,48
"9986","Jack Henry","GEE",14,6060,65
"9987","Tom Stewart","GEE",14,13330,84
"9988","Jordan Clark","GEE",14,8460,55
"9989","Nathan Jones","MEL",14,11070,77
"9990","Steven May","MEL",14,10920,76
"9991","Brandon Matera","FRE",14,9540,100
"9992","Joel Hamling","FRE",14,5790,64
"9993","Ethan Hughes","FRE",14,7620,47
"9994","Timothy Smith","MEL",14,9120,74
"9995","Sam Switkowski","FRE",14,7580,75
"9996","Darcy Gardiner","BRL",14,7840,62
"9997","Ryan Lester","BRL",14,8950,65
"9998","Jack Newnes","STK",14,10870,33
"9999","Lincoln McCarthy","BRL",14,7270,92
"10000","Jonathon Marsh","STK",14,5990,20
"10001","Eric Hipwood","BRL",14,7810,77
"10002","Oscar McInerney","BRL",14,7360,90
"10003","Josh Battle","STK",14,9720,99
"10004","Jake Carlisle","STK",14,10150,41
"10005","Hunter Clark","STK",14,8270,71
"10006","Matthew Parker","STK",14,7090,71
"10007","Callum Wilkie","STK",14,8130,70
"10008","Sam Gray","PTA",14,10990,79
"10009","Tom Jonas","PTA",14,10220,32
"10010","Harry Taylor","GEE",14,8590,46
"10011","Dougal Howard","PTA",14,8140,44
"10012","Zak Butters","PTA",14,8420,49
"10013","Sam Frost","MEL",14,7270,71
"10028","Jayden Hunt","MEL",14,8510,41
"10030","Sam Weideman","MEL",14,8690,33
"10033","Taylin Duman","FRE",14,10240,61
"10072","Daniel McStay","BRL",14,7980,69
"10076","David Armitage","STK",14,11590,64
"10080","Shane Savage","STK",14,12110,62
"10081","Jack Sinclair","STK",14,9980,81
"10089","Daniel McKenzie","STK",14,7340,22
"10129","Mark Blicavs","GEE",14,8850,78
"10131","Jake Kolodjashnij","GEE",14,7500,59
"10132","Steven Motlop","PTA",14,9480,65
"10138","Tom Clurey","PTA",14,7610,55
"10147","Mark O'Connor","GEE",14,8580,60
"10163","Gryan Miers","GEE",14,10330,30
"10164","Kane Farrell","PTA",14,6840,27
"10178","Connor Rozee","PTA",14,10410,81
"10180","Jaeger O'Meara","HAW",6,14720,134
"10181","Mitch Lewis","HAW",6,5000,47
"10182","Cameron Guthrie","GEE",6,10140,90
"10183","David Cuningham","CAR",6,6850,61
"10184","Tom Hickey","WCE",6,9720,141
"10185","Luke Breust","HAW",6,9720,87
"10186","Luke Dahlhaus","GEE",6,11420,55
"10187","Patrick Cripps","CAR",6,17030,99
"10188","Ben McEvoy","HAW",6,13830,103
"10189","Matthew Kreuzer","CAR",6,11560,83
"10190","Tim Kelly","GEE",6,13590,99
"10191","Zac Fisher","CAR",6,10170,86
"10192","Ricky Henderson","HAW",6,14370,73
"10193","Joel Selwood","GEE",6,12530,79
"10194","Sam Petrevski-Seton","CAR",6,11130,91
"10195","James Worpel","HAW",6,12930,86
"10196","Michael Gibbons","CAR",6,8160,54
"10197","Tom Scully","HAW",6,10200,81
"10198","Rhys Stanley","GEE",6,11770,110
"10199","Patrick Dangerfield","GEE",6,16030,138
"10200","James Sicily","HAW",6,13160,116
"10201","Isaac Smith","HAW",6,11490,87
"10202","Paddy Dow","CAR",6,8790,58
"10203","Lachie Plowman","CAR",6,8310,76
"10204","Andrew Gaff","WCE",6,16140,91
"10205","Jack Petruccelle","WCE",6,6980,35
"10206","Ed Curnow","CAR",6,10960,106
"10208","Sam Walsh","CAR",6,14230,74
"10209","Shannon Hurn","WCE",6,12990,109
"10210","Luke Shuey","WCE",6,13450,72
"10211","Tom Stewart","GEE",6,12300,124
"10212","Marc Murphy","CAR",6,14330,84
"10213","Harry McKay","CAR",6,10250,59
"10214","Will Schofield","WCE",6,5650,6
"10215","Jack Silvagni","CAR",6,8240,61
"10216","Elliot Yeo","WCE",6,14050,101
"10217","Dom Sheed","WCE",6,13830,60
"10218","Tom Atkins","GEE",6,7320,52
"10219","Chad Wingard","HAW",6,10520,89
"10220","Daniel Howe","HAW",6,11150,79
"10221","Tim O'Brien","HAW",6,7160,61
"10222","James Cousins","HAW",6,9940,62
"10223","Mitch Duncan","GEE",6,14160,130
"10224","Jacob Weitering","CAR",6,8310,77
"10225","Nic Newman","CAR",6,12320,66
"10226","Blake Hardwick","HAW",6,8590,83
"10227","Liam Shiels","HAW",6,13510,145
"10228","Gary Ablett","GEE",6,13500,108
"10229","Brad Sheppard","WCE",6,12830,46
"10230","Chris Masten","WCE",6,9300,74
"10231","Zach Tuohy","GEE",6,11470,75
"10232","Jack Darling","WCE",6,8860,27
"10233","Jarrod Brander","WCE",6,5000,29
"10234","Caleb Marchbank","CAR",6,7990,47
"10235","Jack Gunston","HAW",6,12530,65
"10236","Mark Hutchings","WCE",6,7990,43
"10237","Jeremy McGovern","WCE",6,9440,71
"10238","Mark Blicavs","GEE",6,9200,77
"10239","Charlie Constable","GEE",6,12180,83
"10240","Dale Thomas","CAR",6,11170,106
"10241","Jack Scrimshaw","HAW",6,9160,77
"10242","Gary Rohan","GEE",6,6700,96
"10243","Mark O'Connor","GEE",6,7270,91
"10244","Gryan Miers","GEE",6,9160,91
"10245","Jarman Impey","HAW",6,9330,68
"10246","Kaiden Brand","HAW",6,7120,32
"10247","Jarryd Roughead","HAW",6,10260,62
"10248","Jake Kolodjashnij","GEE",6,6640,61
"10249","Sam Menegola","GEE",6,13200,78
"10250","Paul Puopolo","HAW",6,8230,48
"10251","Ben Stratton","HAW",6,7130,38
"10252","Liam Jones","CAR",6,7450,75
"10253","Lochie O'Brien","CAR",6,7920,48
