"playerName","team","CBAs","ruckContests","kickIns","playOn","fantasy"
"Stephanie Williams","GEEL",0,0,0,0,0
"Olivia Barber","GEEL",0,0,0,0,0
"Carly Remmos","GEEL",0,0,0,0,0
"Alicia Eva","GWS",11,0,0,0,85
"Alyce Parker","GWS",9,0,0,0,84
"Nicola Barr","GWS",0,0,0,0,73
"Emily Pease","GWS",0,0,0,0,57
"Jasmine Grierson","GWS",0,0,3,3,49
"Louise Stephenson","GWS",0,0,0,0,48
"Annalyse Lister","GWS",0,0,0,0,48
"Tanya Hetherington","GWS",0,0,6,4,47
"Libby Graham","GWS",0,0,0,0,39
"Erin Lorenzini","GWS",0,0,0,0,37
"Ally Dallaway","GWS",6,0,0,0,35
"Ally Morphett","GWS",5,22,0,0,35
"Erin McKinnon","GWS",7,38,0,0,32
"Brid Stack","GWS",0,0,0,0,30
"Katherine Smith","GWS",1,0,0,0,27
"Jessica Doyle","GWS",0,0,0,0,27
"Cora Staunton","GWS",0,0,0,0,25
"Lisa Steane","GWS",9,0,0,0,20
"Brodee Mowbray","GWS",0,0,0,0,9
"Casidhe Simmons","GWS",0,0,0,0,7
"Georgina Fowler","GWS",0,0,0,0,4
"Haneen Zreika","GWS",0,0,0,0,0
"Pepa Randall","GWS",0,0,0,0,0
"Georgia Garnett","GWS",0,0,0,0,0
"Rebecca Privitelli","GWS",0,0,0,0,0
"Rebecca Beeson","GWS",0,0,0,0,0
"Chloe Dalton","GWS",0,0,0,0,0
"Tait Mackrill","GWS",0,0,0,0,0
"Katie Loynes","GWS",0,0,0,0,0
"Jessica Allan","GWS",0,0,0,0,0
"Tarni Evans","GWS",0,0,0,0,0
"Emily Goodsir","GWS",0,0,0,0,0
"Ruby Sargent-Wilson","GWS",0,0,0,0,0
"Isadora McLeay","GWS",0,0,0,0,0
"Tanya Kennedy","GWS",0,0,0,0,0
"Eliza McNamara","MELB",0,0,0,0,81
"Tyla Hanks","MELB",8,0,0,0,72
"Sarah Lampard","MELB",0,0,10,8,65
"Maddison Gay","MELB",6,0,0,0,64
"Casey Sherriff","MELB",0,0,0,0,62
"Libby Birch","MELB",0,0,0,0,56
"Gabrielle Colvin","MELB",0,0,0,0,56
"Megan Fitzsimon","MELB",0,0,0,0,55
"Sinead Goldrick","MELB",3,0,0,0,55
"Karen Paxman","MELB",5,0,0,0,50
"Daisy Pearce","MELB",0,0,0,0,50
"Shelley Heath","MELB",0,0,1,0,46
"Lily Mithen","MELB",3,0,0,0,39
"Lauren Pearce","MELB",5,26,0,0,36
"Kate Hore","MELB",0,0,0,0,29
"Jacqueline Parry","MELB",3,11,0,0,24
"Tayla Harris","MELB",0,1,0,0,24
"Eden Zanker","MELB",6,9,0,0,22
"Eliza West","MELB",1,0,0,0,21
"Shelley Scott","MELB",0,0,0,0,18
"Alyssa Bannan","MELB",0,0,0,0,4
"Brenna Tarrant","MELB",0,0,0,0,0
"Maggie Caris","MELB",0,0,0,0,0
"Alison Brown","MELB",0,0,0,0,0
"Lauren Magee","MELB",0,0,0,0,0
"Krstel Petrevski","MELB",0,0,0,0,0
"Jordan Zanchetta","MELB",0,0,0,0,0
"Olivia Purcell","MELB",0,0,0,0,0
"Tahlia Gillard","MELB",0,0,0,0,0
"Isabella Simmons","MELB",0,0,0,0,0
"Maeve Chaplin","MELB",0,0,0,0,0
"Georgia Campbell","MELB",0,0,0,0,0
"Ashleigh Riddell","NMFC",9,0,0,0,98
"Jenna Bruton","NMFC",9,0,0,0,97
"Mia King","NMFC",10,0,0,0,87
"Ellie Gavalas","NMFC",7,0,0,0,62
"Aileen Gilroy","NMFC",0,0,0,0,58
"Emma King","NMFC",4,16,0,0,58
"Kaitlyn Ashmore","NMFC",0,0,0,0,52
"Tahlia Randall","NMFC",0,4,0,0,51
"Alice O'Loughlin","NMFC",0,0,0,0,50
"Emma Kearney","NMFC",0,0,0,0,46
"Jessica Duffin","NMFC",0,0,1,1,46
"Nicole Bresnehan","NMFC",0,0,0,0,46
"Isabella Eddey","NMFC",0,0,0,0,43
"Kimberley Rennie","NMFC",10,20,0,0,43
"Jasmine Garner","NMFC",7,1,0,0,40
"Daria Bannister","NMFC",0,0,0,0,38
"Daisy Bateman","NMFC",0,0,0,0,37
"Sophie Abbatangelo","NMFC",0,0,0,0,36
"Sarah Wright","NMFC",0,0,0,0,30
"Jasmine Ferguson","NMFC",0,0,0,0,27
"Brooke Brown","NMFC",0,0,2,2,25
"Amy Smith","NMFC",0,0,0,0,0
"Danielle Hardiman","NMFC",0,0,0,0,0
"Grace Campbell","NMFC",0,0,0,0,0
"Tess Craven","NMFC",0,0,0,0,0
"Alexia Hamilton","NMFC",0,0,0,0,0
"Brittany Gibson","NMFC",0,0,0,0,0
"Elisha King","NMFC",0,0,0,0,0
"Tara Slender","NMFC",0,0,0,0,0
"Perri King","NMFC",0,0,0,0,0
"Ella Maurer","NMFC",0,0,0,0,0
"Monique Conti","RICH",13,0,0,0,97
"Kate Dempsey","RICH",0,0,0,0,91
"Gabrielle Seymour","RICH",13,39,0,0,61
"Rebecca Miller","RICH",0,0,5,3,60
"Jess Hosking","RICH",0,0,0,0,58
"Sarah Hosking","RICH",11,0,0,0,55
"Sarah Sansonetti","RICH",0,0,0,0,54
"Katie Brennan","RICH",1,8,0,0,50
"Sarah D'Arcy","RICH",0,0,0,0,48
"Meagan Kiely","RICH",14,0,0,0,46
"Maddie Shevlin","RICH",0,0,2,2,44
"Maddy Brancatisano","RICH",4,0,0,0,42
"Tessa Lavey","RICH",0,0,0,0,42
"Bethany Lynch","RICH",0,0,0,0,37
"Emelia Yassir","RICH",0,0,0,0,36
"Sophie Molan","RICH",0,0,0,0,35
"Kodi Jacques","RICH",0,0,0,0,31
"Christina Bernardi","RICH",0,0,0,0,29
"Sarah Dargan","RICH",0,0,0,0,17
"Stella Reid","RICH",0,0,0,0,12
"Tayla Stahl","RICH",0,0,0,0,8
"Harriet Cordner","RICH",0,0,0,0,0
"Hannah Burchell","RICH",0,0,0,0,0
"Courtney Wakefield","RICH",0,0,0,0,0
"Laura McClelland","RICH",0,0,0,0,0
"Poppy Kelly","RICH",0,0,0,0,0
"Meg Macdonald","RICH",0,0,0,0,0
"Iilish Ross","RICH",0,0,0,0,0
"Hannah McLaren","RICH",0,0,0,0,0
"Ellie McKenzie","RICH",0,0,0,0,0
"Ingrid Houtsma","RICH",0,0,0,0,0
"Akec Makur Chuot","RICH",0,0,0,0,0
"Akayla Peterson","RICH",0,0,0,0,0
"Tilly Lucas-Rodd","STK",0,0,0,0,0
"Catherine Phillips","STK",0,0,0,0,0
"Bianca Jakobsson","STK",0,0,0,0,0
"Hannah Priest","STK",0,0,0,0,0
"Olivia Vesely","STK",0,0,0,0,0
"Tarni White","STK",0,0,0,0,0
"Rosie Dillon","STK",0,0,0,0,0
"Jayde Van Dyk","STK",0,0,0,0,0
"Darcy Guttridge","STK",0,0,0,0,0
"Leah Cutting","STK",0,0,0,0,0
"Molly McDonald","STK",0,0,0,0,0
"Rebecca Ott","STK",0,0,0,0,0
"Rhiannon Watt","STK",0,0,0,0,0
"Isabella Shannon","STK",0,0,0,0,0
"Alice Burke","STK",0,0,0,0,0
"Kate Shierlaw","STK",0,0,0,0,0
"Jacqui Vogt","STK",0,0,0,0,0
"Alana Woodward","STK",0,0,0,0,0
"Renee Saulitis","STK",0,0,0,0,0
"Nicola Xenos","STK",0,0,0,0,0
"Lucy Burke","STK",0,0,0,0,0
"Caitlin Greiser","STK",0,0,0,0,0
"Nat Exon","STK",0,0,0,0,0
"Tahlia Meyer","STK",0,0,0,0,0
"Jessica Matin","STK",0,0,0,0,0
